,_,mrw,sentence
1633,,used grace estate to,The boy had been told unequivocally not to let her off the lead the riding-school only used the land by grace of its owner and it was a shooting estate but he hated keeping the dog straining at the lead and knew that she would always come to his call
1634,,at cast furiously catch up,He stood for a moment laughing at her as she cast furiously for the vanished rabbit and walked on to catch her up along the raised embankment
1635,,grown up in closed now then,The trees had grown up beside it in the twenty-five years since the railway had closed and the boy stopped every now and then to watch small birds hopping around the top branches
1636,,stretch odd down,He particularly liked this stretch nothing but the odd tractor and the horses ever came down this embankment and the birds were unworried by his presence
1637,,After up in,After half a mile he decided to turn off the embankment and walk up the side of the next field and along the path at the top of it following the horses whom he could still see in the distance
1638,,to,He called Patty to him
1639,,to,She did n't come which was surprising she was a docile creature and particularly devoted to him because he always took her for a walk when he was at the stables
1640,,at,He called her again and again but she would not stop barking at something he could not see
1641,,slithered join,Probably a squirrel he decided and slithered down the side of the embankment to join her scolding as he went
1642,,gazed,He saw a leg uncomfortably wedged between sapling trees swollen grotesquely and gazed at it stupidly wondering if it was plastic
1643,,at light shifted caught turning,As his eyes focused he realized he was looking at a hideously swollen human body and just then as the light breeze shifted he caught the turning odour of decay
1644,,make,He clipped the lead on to the dog with cold hands which would hardly function and let her pull him up the slope as fast as he could make his legs move
1645,,with note spot in closing stages,He stopped on the embankment shaking with cold and shock to note the spot then fled along the tractor paths the dog running with him to the stables where the ten o'clock children 's ride was in its closing stages
1646,,taking at in whining,The thin capable woman who was taking the riding-class looked at him in amazement as he leaned panting on the gate to the ring the dog whining beside him
1647,,at filled,The boy looked at her and uncontrollable tears suddenly filled his eyes
1648,,served to,He was very nearly as tall as her but she put an arm under his shoulders and supported him to the untidy room which served as the stable office calling to one of the stable girls to take over the class
1649,,gulped,He scrubbed at his face with the handkerchief she offered and gulped for air
1650,,casting over,She did so casting an experienced eye over him
1651,,in,Mummy will come back in a few minutes wo n't she for Susie
1652,,at,Aunt Margaret is coming at ten
1653,,to sergeant without,The boy thought longingly of his mother but managed to help Miss Williams describe the location of the body to a startled local station sergeant and to drink a cup of sweet milky tea without being sick
1654,,By far point out in,By the time his aunt arrived Jamie was so far recovered as to be able to refuse to go home and to point out severely that he would be needed either to assist the police or to be lead rider in the eleven-thirty class or possibly both
1655,,solicitor,He watched his aunt and Miss Williams wordlessly consult each other but knew his aunt would do as she was told successful solicitor though she was she was ten years younger than Miss Williams and as she complained totally intimidated by her as she had not been by anyone since her late headmistress
1656,,firmly in assumed,He was unsurprised to find her packed off firmly to take his sister home leaving him as a person of major importance in what he instantly assumed to be a real murder
1657,,wiry in edging collect from from,Miss Williams took him to meet the police Land Rover at the stable gate a bone-thin wiry woman in her late fifties her expression sufficiently forbidding to prevent the parents edging cars through the gate to collect children from the ten o'clock ride from asking any questions
1658,,through queasiness to half,Jamie through a renewed queasiness just observed that the police driver was instantly reduced to half his age by Miss Williams 's greeting
1659,,in to sergeant leading,He was one of my boys she said in explanation to the CID sergeant who was leading the party as they bumped over the rough road through the thick mud and on to the dry embankment
1660,,sergeant,Did you recognize the person you found young man the sergeant asked carefully
1661,,sergeant,The sergeant 's eyes widened and he slid out of the Land Rover and stood back to let Jamie out
1662,,handles,Almost a professional singer handles himself very well
1663,,to reaching reduced,Miss Williams 's natural pitch well suited to reaching across a hunting-field was discreetly reduced
1664,,sergeant,The CID sergeant thanked her gravely and went to stand beside Jamie who was peering down the embankment looking pinched
1665,,took deep sergeant in wake,He took a deep breath and headed down the sergeant two constables and Miss Williams in his wake
1666,,on,Oh dear oh dear Miss Williams said on an indrawn breath
1667,,mopped,She took out a handkerchief and mopped her eyes
1668,,shot missed occupied with back,The police driver shot Jamie a look of enquiry which he missed occupied as he was with guiding Miss Williams back up the hill
1669,,to to,The boy blushed to his ears and owned to it
1670,,in with,You must not do it Jamie we 'll be in trouble with Colonel James I 've told all you boys a thousand times
1671,,sergeant bent on,He 'll perhaps not do it again the sergeant murmured and received the look that Miss Williams habitually bent on a child who was riding carelessly
1672,,long,How long had she been there
1673,,sergeant,A few days the sergeant said grimly
1674,,back,He considered the boy thoughtfully and decided to take him back quickly
1675,,in tough,These teenagers were in his experience a lot less tough than they looked
1676,,sergeant do concede point taken,The sergeant nodded deciding it could do no harm to concede a point he had already taken
1677,,tell,No one could tell who she was surely
1678,,to,Miss Williams said quietly to him sounding shaky
1679,,sergeant confirmed with after,The sergeant confirmed that that happened with bodies after a few days
1680,,that lit furiously,He stopped abruptly as he remembered a conversation earlier that week and lit a cigarette thinking furiously
1681,,including,This could be the girl whom the Yard were looking for and he had better do everything very quickly indeed including finding his Chief who would then want to find his Chief Constable and notify Scotland Yard
1682,,this squad,Presumably it would be the Yard who investigated this one rather than the regional crime squad
1683,,long keeping in highest Next got,He chewed his thumbnail as he walked out of long experience keeping in mind the highest priorities Ensure Body Not Moved and Ensure Next of Kin Notified before the Press got the story
1684,,had back down join armed with repel senior armed with Sergeant,He posted the detective constable he had with him back down the path to join his colleague armed with instructions to repel all attempts by anyone however senior or armed with whatever authority to go anywhere near the body unless he Sergeant Black personally accompanied them
1685,,with aim to quickly,Then he climbed into the Land Rover beside his two passengers and drove off fast with the aim of abandoning Jamie to the custody of his aunt as quickly as possible
1686,,half connected substantially over-,He could see with half an eye that the kid 's aunt was going to be one of the confident bossy connected women with whom that part of Cambridgeshire was substantially over-
1687,,catch up on,John McLeish was in his office Saturday or no Saturday telling himself he needed to catch up on the paperwork
1688,,took disentangle,The voice at the other end was plainly over-excited and it took him a minute to disentangle what he was being told
1689,,these things go,Actually a very big girl as these things go nine pounds
1690,,fantastic,It 's fantastic John there she is a new person lying on her face sound asleep
1691,,this nose joint,McLeish repressed the malicious thought that this event might put Francesca 's nose just a little bit out of joint
1692,,in position in,She had been utterly secure in her position as the only girl in the Wilson family and now there was another one
1693,,bit,I 've got another bit of good news
1694,,qualified felt about,McLeish expressed qualified enthusiasm and Charlie assured him he felt exactly the same about his younger brother
1695,,that bit,The difficulty is that Perry does everything that bit better than Tristram
1696,,this,Not that this is any excuse John I do know
1697,,see plans,I wanted to say you see that I know you thought Frannie should n't have gone and that it 's ruined your holiday plans and on behalf of us all I 'm sorry
1698,,lean on,I know the little boys lean on her too much and I would have gone if I could
1699,,back,Anyway she should be back soon Charlie concluded
1700,,feeling with enveloped in eiderdown made call down getting in order,McLeish thanked him gravely feeling as he often did with the Wilsons that he was being enveloped in a large feather eiderdown and made restless by the call went down the corridor to where he knew Catherine Crane was also in getting her office in order
1701,,at,He stopped at the door and smiled at her
1702,,at embrace threatening over-balance,Wearing jeans and a blue shirt she was tugging at a filing cabinet which was too large for her to embrace and which was threatening to over-balance on her
1703,,about,She looked about sixteen and beautiful
1704,,let go appeared lurking back at throwing into sharp relief patches mean,She let go of the cabinet coughing in the dust of ages that appeared to be lurking behind it and smiled back at him as the February sun shone through the small window behind her throwing into sharp relief the patches on the wall where her predecessor had hung posters and the ingrained dirt on the flaking paintwork round the mean narrow metal window
1705,,on clip on ankle,McLeish advanced on the cabinet and shifted it authoritatively ignoring the clip on the ankle dealt him by an unsecured bottom drawer apparently full of bricks
1706,,in,I should have unloaded it first Catherine Crane said apologetically but I just could n't move in any direction with it where it was
1707,,do have,I 'm going to do another hour then have some lunch if you want to come
1708,,managing feel at home add further riders to,He was aware that he was not managing to sound exactly like a senior officer making a recent arrival feel at home but decided not to add any further riders to his invitation
1709,,That,That would be very nice
1710,,about,What about the pub
1711,,That on,That 's fine on the food I 'll buy the drinks I 'm too old to get used to women buying my drinks
1712,,at,She laughed at him and said gravely that she would be happy to indulge him and he went away grinning
1713,,felt with in taking cue from,It was he felt just too difficult to be at home at all with Claudia in a permanently bitchy mood and both his teenage children taking their cue from her and behaving intolerably
1714,,become,He wandered restlessly about and decided that the lie might as well become the truth
1715,,in getting assiduous well worth see refugee from at,Without Angela Morgan at least two major clients were in danger of not getting the assiduous service they were paying for and it would be well worth trying to see if one of them whom he knew to be a fellow refugee from family life at the weekends could be found
1716,,in fixed had booked,He was in luck and fixed to meet Andy Barton at Brazzo 's where Yeo Davis had a table permanently booked
1717,,admit this added to smartness,He had to admit that this particular client hardly added to the general decorative smartness of the place
1718,,in without paw made,His enormous hands dwarfed the elegant menu which he was studying in apparent disbelief and Peter Yeo noticed again as Barton without rising extended one massive paw that though the fingers were an ordinary length it was the width of the palms that made the hands so large
1719,,see get foot these observed without,I never see how they get the sales per square foot in these places Barton observed without further greeting
1720,,open using,I mean they 're not open twelve hours like my shops and they are n't using the space
1721,,bright swept over,His small bright blue eyes swept disparagingly over the minimalized black and white flooring stainless steel chairs and black wooden bar
1722,,make huge margin on smaller turnover out of punters,They make a huge margin on a smaller turnover Andy out of punters like us
1723,,with,Peter Yeo was amused by and respectful of a man with an obsession
1724,,began with careful ratios output with quick way identifying interspersed with descents on took fancy,Barton worked a sixteen-hour day which began with careful detailed consideration of the trading figures and key ratios for every one of his forty-three major shops and the output of both factories and continued usually by helicopter with a detailed aerial survey of a particular area as the quick way of identifying new sites interspersed with unheralded descents on the manager of any shop he took a fancy to visit
1725,,this juggernaut stores from,Peter Yeo who had known this particular juggernaut since he had his first small factory and two stores and dirt under his fingernails from shifting packing-cases personally was not fazed by the question
1726,,taking off easily,Angela 's taking a few days off she has n't been well he said easily
1727,,hard,I know she 's been working very hard for you
1728,,up to speed with planning application,I 'm up to speed with Huerter of course but is your planning application in Leicester all right
1729,,warmly great job now getting planning on,Barton assured him warmly that Angela had done a great job and he was now confident of getting planning permission on the vast site he had wanted
1730,,in this over- over- prod,Peter Yeo who knew him in this over- over- mood decided to prod gently
1731,,for,Angela said the council wanted it for housing
1732,,there,Silly buggers it 's jobs they want there first
1733,,those farts at stopped,Plenty of housing if those stupid farts at the council got round to repairing it and stopped their tenants tearing apart what they have got
1734,,far these about,My Mum brought up five of us in a flat far worse than what these immigrants complain about
1735,,presentational in invoking curse get with this,Peter Yeo who had personally persuaded Barton of the presentational disadvantage of using words like darkies niggers or wogs decided that immigrants even though used in the manner of one invoking a curse was as good as he was going to get with this particular client
1736,,job on sorting this thing,She 's doing a good job on sorting this Huerter thing too
1737,,Bloody at pushing,Bloody ridiculous them blokes at the DTI pushing assistance for Huerter
1738,,this that rubbish,I voted for this government because they said they were n't going to go in for that sort of rubbish
1739,,works,No one ever gave me anything and my business works
1740,,fix on this,Still Angie can fix the Treasury on this one given her boyfriend ca n't she
1741,,That on this,That 's the reason I wanted you on this
1742,,winced express reservations about influence bring bear,Peter Yeo winced inwardly but he was not going to tell Andy Barton that Angela was missing or express any of his reservations about how much influence Angela could bring to bear
1743,,smoothly changed subject to looks model bit that on thin side mind you tasty,He smoothly changed the subject to the looks of the blond model three tables away and Barton agreed he would n't mind a bit of that on the thin side mind you but tasty
1744,,rest passed in diversion interspersed with turnover far from distractions offered,The rest of lunch passed in similar diversion interspersed with details of last week 's turnover which were never far from Barton 's mind whatever other distractions offered
1745,,having,Mrs Huntley was having lunch with her daughter
1746,,to with sense at at getting from,She ate placidly acknowledging to herself with her customary good sense that at the moment as at any time since her brother William had died she and Penelope were getting no pleasure at all from each other 's company
1747,,disaffected,Penelope was looking particularly discontented and disaffected picking at her food
1748,,smart bright done with,Her red suit was smart but too bright a colour for her pale English pink and white skin her brown hair could have done with a wash and her nails were ragged and bitten
1749,,lines appearing drawn Rose in faded,She was frowning deep lines appearing between her eyebrows mouth drawn down at the edges so that instead of a classically good-looking slim English Rose in her late twenties she looked faded years older than her real age and shrewish
1750,,to fault done harm leaving away from thing,Mrs Huntley sighed her brother whom she had loved but knew to be self-indulgent to a fault had done his niece real harm by leaving so much of his money away from the girl who had confidently believed herself to be his favourite thing on earth
1751,,made rise above blow dealt dazzling over in will,Penelope however it had to be acknowledged had made no attempt to rise above the blow she had been dealt by finding a dazzling girl of her own age favoured over herself in her uncle 's will
1752,,stopped unbecomingly stridently fooled,At least Mrs Huntley thought hopefully she had stopped wondering unbecomingly and stridently how her uncle could have been fooled by Angela Morgan
1753,,view fooled charmed diverted seen have share considerable estate that left decent down-setting,It was Grizel Huntley 's own view that her brother had not been fooled at all but had been charmed and diverted by a dashing girl thirty years his junior and had seen no reason at all why she should not have a share of his considerable estate when that left a very decent down-setting for his niece as well
1754,,straightforwardness with tackled,Indeed she had respected Angela Morgan for the straightforwardness with which she had tackled the issue when they had met at the lawyer 's office
1755,,to after lot,I 'm sorry you 're disappointed she had said to Penelope but after all there 's a lot of money quite enough for both of us
1756,,manage,So there was Grizel Huntley acknowledged and it would be a great deal better if Penny could manage to think a bit more positively
1757,,see that about get,If she has vanished I 'm going to see that solicitor about whether I can get her presumed dead
1758,,determined broke into,Penny sounding childishly sullenly determined broke into her mother 's thoughts
1759,,across at shocked,Grizel Huntley looked across at her shocked
1760,,glared at ungraceful held ground,Penelope glared at her turning an ungraceful scarlet but Mrs Huntley held her ground
1761,,about this,You are being silly about this Penny
1762,,letting this that get in way,You are letting this disappointment and that 's all it is you 're still a very well-off young woman get in the way of everything
1763,,on angry,Penelope choked on her pudding and started to cry angry uncontrollable tears
1764,,comfort back fled ruins,Grizel Huntley reached out to comfort her but she forced back her chair and fled clutching her handbag and napkin leaving her mother with the ruins of lunch
1765,,showing ragged,Her husband Francis had made a slightly better showing than her daughter Jennifer who was looking particularly ragged
1766,,dark,Mother and daughter were very like each other tall dark slim pleasant-looking women with mid-brown curly hair and slightly snub noses
1767,,contrast bright,Francis Morgan by contrast was dark almost black-haired sallow-skinned with bright brown eyes
1768,,packed with bursting round from,Of medium height and packed with energy even distressed as he was he was bursting round the kitchen hair still damp at the back from his swim
1769,,point at,No point at all sitting round looking at each other
1770,,Come on,Come on Jennifer or are you going out with Michael
1771,,defeated at with,Jennifer sounded defeated and he looked at her sideways with familiar love and exasperation
1772,,volunteered uncomfortably in,Giles rang up his daughter volunteered and he was uncomfortably reminded by something in her voice that Giles Hawick was one of the men Jennifer had n't been able to hang on to or not once he had seen Angela
1773,,Well,Well very worried
1774,,to in before far,He said the police were talking to everyone Angie had seen in the two weeks before she well vanished and so far had come up with nothing
1775,,about full plans,I mean no one noticed anything unusual about her and she seemed to be full of plans for the wedding
1776,,Well that caught eye in point-black from on full set-out reception on grounds,Well I told them that Francis Morgan said irritably and his wife and daughter caught each other 's eye in silent agreement that he had n't told them that Angela was refusing point-black to be married from home and was insisting on the full London set-out reception at the House of Commons replying unanswerably when he had objected on grounds of expense that she could well afford to pay for it herself
1777,,epic proportions left sick with,A row of epic proportions had ensued which he and Angela had evidently enjoyed but which had left Sarah and Jennifer sick with distress
1778,,ring,Someone might ring
1779,,in,Sarah Morgan was sounding diffident but resolute and as Morgan opened his mouth to protest in exasperation the doorbell rang
1780,,at in appeal marched with,Both women looked at him in joint appeal and he marched to the door pulling it open with unnecessary force
1781,,checked in way,He stood door in hand checked by something in the way his visitors a man and a woman were standing
1782,,smartly watchful square stolid,The man a stocky greying fifty-year-old in a navy raincoat over a suit his hair cut short was attended by a uniformed policewoman hair smartly set under the cap her eyes watchful in the wide flat placid face and both of them were standing square and stolid
1783,,at before,Francis Morgan stood and stared at them and even before the man stepped forward steadily hand extended mouth opening to speak he understood who they were and what they had come to tell him
1784,,feeling exhausted,Mark Sanders returned from Istanbul feeling exhausted depressed and ill
1785,,blinding in taking toll grey,The blinding headaches he had been experiencing in recent weeks were taking their toll and he looked grey and drawn when he arrived home
1786,,in,Lately Georgina had been worried by the general deterioration in his appearance
1787,,shocked kissed,But now she was visibly shocked by the drained and haggard-looking face which kissed her
1788,,against,She wanted to say You look awful darling but decided against it
1789,,had,What kind of a trip have you had she asked instead
1790,,have,Come into the kitchen and we will have a cup of tea
1791,,ve,I ve so much news to tell you
1792,,things this,All sorts of things seem to have happened while you have been away this time
1793,,thinly,Mark smiled thinly and kissed her affectionately on the cheek
1794,,about,Tell me about it he replied
1795,,with,I could do with a good laugh
1796,,getting this lark -spent catching up on,Must be getting too old for this globe-trotting lark or else my -spent youth is catching up on me
1797,,coming to this game,I 'm rapidly coming to the conclusion that this is a young man 's game
1798,,tease out of depression,You 're still a young man well youngish. she said trying to tease him out of his apparent lethargy and depression
1799,,have that feel,Let's have that cup of tea and you 'll feel better
1800,,boots slipping with,Ah fill the cup what boots it to repeat how time is slipping underneath our feet he quoted with a sigh
1801,,sad sack,What a sad sack we are today
1802,,that feel,Is that how you feel
1803,,accompany on,Shall I accompany you on the violin
1804,,after,Christopher has been promoted after only one year
1805,,with contribution made to go to top keeps up,The Chairman of the company told him he was most impressed with the contribution he 's made to the business and that he could go right to the top if he keeps it up
1806,,that,I knew you 'd be delighted to hear that
1807,,Champion at,Champion of the breed at Crufts last year
1808,,at,Ah yes a Secretary at the Ministry of Industry wants you to ring him
1809,,address on,Seems they want you to address the European Commission on European industrial development
1810,,about,Something about the factors which influence multi-nat location decisions
1811,,means,Anyway you 'll know what it means when you see it
1812,,down,I 've written it all down
1813,,from Central prepared stand,Oh and yes a chap from Conservative Central Office rang up to say they 'd like to know if you would be prepared to stand for the European Parliament
1814,,to right,He sounded somewhat to the right of Genghis Khan
1815,,pass on,I said I did n't think so as you were rather busy but I 'd pass the message on
1816,,thing,Hope I did the right thing
1817,,from to,I said you never knew where you were from one week to the next
1818,,that,He said that would do nicely
1819,,overlooking quiet,Gorgeous location overlooking a quiet bay
1820,,included,Only a thousand pounds a week yacht included
1821,,that,I 'd love that for two or three weeks would n't you
1822,,had,We have n't had a family holiday for years
1823,,that,I 'd like that
1824,,about that,But we can talk about that later
1825,,take up,And I 've decided to take up riding again
1826,,got that,Just got the urge that 's all
1827,,gave lit,She gave him a beautiful smile which lit her lovely face
1828,,that starters,Well how 's that for starters she asked
1829,,that before,He had heard that expression before
1830,,see,Now let me see
1831,,have,Andrew 's coming home for the weekend so I thought it would be nice to have a drinks party
1832,,that,I 've invited the Bunkers if that 's all right
1833,,without,Fine agreed Mark without much enthusiasm
1834,,make it,If Clem can make it that is
1835,,about this strike,I heard about this latest Merseyside strike in Istanbul
1836,,finish off added,Could finish off the UK vehicle division he said forlornly and Don Peters he added shaking his head
1837,,rising,And who the hell IS management he demanded his voice rising
1838,,guts out expand bastards guts out destroy,People like me who 've worked their guts out to expand the business while the militant bastards have been working their guts out to destroy it
1839,,about saga,But we were n't talking about the motor industry and the never-ending management-union saga
1840,,about having round,We were talking about Andrew coming home for the weekend and having the Bunkers round for drinks
1841,,that about,And I do wish you would n't swear like that when you talk about business
1842,,hard bitter,You are becoming so hard and bitter and it 's not really like you
1843,,That,That 's it is n't it
1844,,about,You were just going to worry about it alone
1845,,go on,You let me go rabitting on
1846,,about,I 'm not sure yet that there really is something to worry about
1847,,have about planning operations that curtains,I have a horrible feeling that UM is about to reorganise world-wide planning operations and if that happens it 's curtains for the European organisation and for me
1848,,that mean,What exactly would that mean
1849,,on cards,I think it could be on the cards
1850,,signs,I do n't know but I do n't like the signs
1851,,to,They would n't do that to you
1852,,after,Not after all you 've done for the Corporation
1853,,feel,My dear they 'll do whatever they feel is necessary to do
1854,,track these things come into,Sentiment loyalty service and track record none of these things will come into it
1855,,about firmly hiding,It 's all so ridiculous that we 're not going to even think about it any more she said firmly hiding her fears
1856,,added,Now come into the garden she added smiling
1857,,mass,It 's a mass of colour
1858,,that about,Lying in bed that evening they talked a lot about their life together
1859,,recalled,They recalled their first days
1860,,somersaults stopped came,The Paul Jones and the emotional somersaults when the music stopped and they came face to face for the very first time
1861,,with,The children growing up with all the laughter and tears
1862,,void felt unconfined at end,Schooldays and the void they both felt when the boys went off to boarding school followed by the joy unconfined when they came home at the end of term
1863,,up ladder,Mark 's promotions and progress up the company ladder
1864,,gained,Friends lost and friends gained
1865,,lightly,Notwithstanding current problems which they discussed lightly it had all been wonderful
1866,,fell in,They fell asleep in the early hours of the morning holding hands
1867,,back headquarters from,The next day Mark arrived back at UM 's European headquarters in London and received an early call from Muldoon
1868,,down to,He went down the airless corridor to his Boss 's office said hello to the secretary and walked into the large oak-panelled room which was as big as the lobby of many a sizeable hotel
1869,,Have,Have a good trip
1870,,felt,Instinctively Mark felt uneasy
1871,,over- approach,Why the hand on the arm and the over- approach
1872,,got that reception,Only visitors and VIPs got that special reception
1873,,Planning go,How did the Planning meeting go
1874,,reaction,What was Nate 's reaction
1875,,added,Did he and the Committee go along with my proposals he added
1876,,went,It went fine Muldoon said
1877,,job,Klepner did a good job
1878,,handle,How did he handle the questions
1879,,have inside deal with,He does n't have the inside knowledge to deal with questions
1880,,handled,I handled some and so did Mueller
1881,,let side down,He did n't let the side down
1882,,inside track,He does n't know the inside track any more than Klepner
1883,,that mean,And what does that mean
1884,,taking long over,Muldoon seemed to be taking a long time over his coffee
1885,,evaded,He evaded Mark 's eyes
1886,,head-up planning,He 's goin' to head-up world planning operations from Detroit
1887,,co-ordinating plans picture,He 's already co-ordinating the regional plans to provide a world picture
1888,,Deep down,Deep down he knew
1889,,co-ordinate increasing,He 's not going to just co-ordinate and consolidate any longer Muldoon said with increasing nervousness
1890,,plan direct planning including planning,He 's gon na plan direct and control worldwide planning operations from Detroit including the regional planning functions
1891,,faked,Mark 's expression was one of faked incredulity
1892,,gut,His gut feelings had been right
1893,,that fall that bloody game,I know that 's what Mueller 's always wanted but Nate and the Executive Committee would never fall for that bloody empire-building game
1894,,far handled,The regions are far too big and complex to be handled from Detroit and even if they were foolish enough to believe that they could do it more effectively which they ca n't they would be crazy to try
1895,,that,But that 's what they 're gon na do
1896,,heatedly,It will boomerang the Englishman said heatedly
1897,,stand get know going on,Overseas Governments and local nationals just wo n't stand for it particularly when they get to know what 's going on
1898,,That corporate plan win in long,That 's one corporate plan that ca n't win not in the long term
1899,,run that way,But they think they can run everything from Detroit and that 's the way the organisation is going to be restructured
1900,,on,They are working on it right now
1901,,in,We will know the details in a few weeks time
1902,,at,Couple of months at the latest
1903,,that,And how does that affect the European organisation
1904,,wound up,The organisation will be wound up
1905,,taking,I 'm taking early retirement
1906,,prepared to,But my guess is early retirement too unless you 're prepared to go back to divisional work
1907,,In,In any case you know as well as I do that the MDs are always American
1908,,that,Well there wo n't be any European job functions that 's for sure Muldoon said
1909,,direct link between with calling shots,There 'll be a direct link between Detroit and the line managers in each country with Detroit calling the shots
1910,,playing with dynamite,Do n't they realise they 're playing with political dynamite
1911,,give about corporate plan on on,Mueller wo n't give a damn about the effect of a corporate plan on Europe and on individual countries
1912,,go ahead,If he wants to import vehicles or components from Taiwan or Singapore or Hong Kong into Europe he 'll go ahead and do it regardless of the economic consequences for the European countries concerned
1913,,thing come,The only thing you can be sure of is that US interest will always come first
1914,,thing added sourly,Oh and there 's one more thing you can be sure of he added sourly
1915,,plan market from,They wo n't plan to supply the US market from imports
1916,,bottom on that,You can bet your bottom dollar on that
1917,,hackles rising,Jesus wept he continued hackles rising
1918,,have power make break,Mueller will have the power to make or break whole areas of Europe
1919,,given power,He 's the last guy in the world who should be given such power
1920,,bloody power drunk,The bloody man 's power drunk already
1921,,bitter,He was angry and bitter
1922,,about,Then what are you and Clancy doing about it
1923,,Look point,Look Mark Muldoon said forlornly What 's the point
1924,,wheels set in motion,The wheels have already been set in motion
1925,,change,We 're not gon na change anyone 's mind
1926,,that,You know that
1927,,takin added,Sorry you 're takin it so bad he added miserably
1928,,take,How else should I take it
1929,,about go down plughole,It 's my life which is about to go down the plughole
1930,,on brief,I 'm not an American on a brief overseas assignment
1931,,spent in,I 've spent my entire working life in the European components business
1932,,grown up in,I 've grown up in it
1933,,my blood,It 's in my blood
1934,,plants,I 've built plants and managed them
1935,,plants had hand in,When I was an apprentice there were two component plants in Europe and now there are seventeen and I 've had a hand in establishing the last twelve
1936,,that,Oh is that what they are proposing to do
1937,,bully,Well bully for Mueller and the Corporation
1938,,go collect hat coat,I 'll go and collect my hat and coat
1939,,feel,I know how you feel Mark Muldoon said sadly
1940,,looking forward to,You 're sixty-one and have been looking forward to retirement
1941,,have long way,I 'm fifty and have a long way to go
1942,,see things way see,I do n't think you can see things the way I see them
1943,,feel,But I can understand how you feel
1944,,to Plan,So what 's going to happen to the European Plan he asked
1945,,drive with at,Mueller will drive it from Detroit with one or two amendments agreed at the EPC meeting Muldoon told him
1946,,plant,No further plant investment in the UK
1947,,saw to that,I suppose Mueller saw to that Mark said sarcastically
1948,,guts,He really hates our guts
1949,,plants under regime,God help the British plants under the new regime
1950,,that,No it was n't that
1951,,strike,It was the strike at Merseyside
1952,,That straw far,That was the last straw as far as Nate was concerned
1953,,that hit with,Up until that news hit the Committee Don had won the day with his UK Vehicle Division proposals
1954,,about strike that,But as soon as Nate heard about the latest strike that was it
1955,,End story,End of story
1956,,take,How did Don take it
1957,,in come out on top,It 's the first time in his career he has n't come out on top
1958,,plan back,Mueller is taking over the plan and Don is being transferred back to the States
1959,,stooging around,Just think of it a man of his talent and ability stooging around the media
1960,,inside,He 'll fly out inside the month
1961,,made face,Muldoon made a face
1962,,back,Klepner will take over the files and ship them back to the States
1963,,Planning,He 'll be Mueller 's European components Planning Manager in Detroit
1964,,in,Mark uttered in mock astonishment
1965,,about,The man knows nothing about Europe
1966,,novice,He 's a novice
1967,,bloody,A bloody charlatan
1968,,there,But there it is
1969,,have in,We have no choice in the matter
1970,,come up with attractive separation package that,New York and Detroit will come up with an attractive separation package you can be sure of that
1971,,get terms under,They 've already told me you 'll get the maximum terms permitted under British law
1972,,wants thing,The Corporation wants to do the right thing by you
1973,,have in,We have no choice in the matter said the Englishman
1974,,blinding made,Another of his blinding headaches had developed and he felt a tight sensation in his chest which made breathing very painful and difficult
1975,,get,Shall I get the doctor
1976,,in,Be OK in a minute
1977,,get,Are you sure I should n't get a doctor she asked
1978,,had,Millie had her reasons for being concerned
1979,,petticoat Mafia at top knew going on before top,The petticoat Mafia at the top of the organisation always knew what was going on often before the top executives themselves
1980,,close,Millie and the secretaries of Pat Muldoon and Clancy McGillicuddy were all close friends
1981,,got over,They had got together over the weekend to discuss the implications of the confidential letter the two Americans had received from Randy Mueller on behalf of Nate Cocello
1982,,By reached that,By the time Mark reached home that evening the pains in his head were excruciating
1983,,against about,He decided against telling Georgina about his meeting with Muldoon
1984,,This,This was n't it
1985,,This deals with approach to risks,This chapter deals with the approach of the criminal law to behaviour which causes or risks causing death
1986,,discussed here responds proportionately to degrees in where,Murder manslaughter and several other offences are discussed and one recurrent issue here is whether English law responds proportionately to the different degrees of culpability manifested in cases where death is caused
1987,,culpable regarded serious in calendar,For practical purposes the culpable causing of another person 's death may fairly be regarded as the most serious offence in the criminal calendar
1988,,serious strikes at foundations rare serious form,There is an argument that treason is a more serious offence since it strikes at the very foundations of the State and its social organizations but treason is so rare that it is surely permissible to treat homicide as the most serious form of crime
1989,,this find to degree,The reason for this is not difficult to find the harm caused by many other crimes is remediable to a degree whereas the harm caused by homicide is absolutely irremediable
1990,,in leave retains,Even in crimes of violence which leave some permanent physical disfigurement or psychological effects the victim retains his or her life and therefore the possibility of further pleasures and achievements whereas death is final
1991,,This makes regard serious on regard that in,This finality makes it proper to regard death as the most serious harm that may be inflicted on another and to regard a person who chooses to inflict that harm as the most culpable of offenders in the absence of some excuse or justification
1992,,arise from from sees large amount to form in,Although many deaths arise from natural causes and many others from illnesses and diseases each year sees a large number of deaths caused by accidents and also a number caused by acts or omissions which amount to some form of homicide in English law
1993,,show at,"For 1987 the statistics show that there were some 20,000 accidental deaths of which some 7,000 occurred in the home 6,000 at work and 5,000 on the roads"
1994,,includes,By comparison the number of deaths recorded as criminal homicide was 600 which includes all the murders and manslaughters
1995,,This small with that,This figure is relatively small when compared with many American cities but that is no cause for satisfaction
1996,,confronted,There are still awkward questions to be confronted
1997,,in culpable,For example are we satisfied that the 600 deaths recorded as homicide are in fact more culpable than all or even most of the deaths recorded as accidents
1998,,In pick out forms boundaries frozen,In other words does English criminal law pick out the most heinous forms of killing as murders and manslaughters or are the boundaries frozen by tradition
