,Jargon_Terms,Jargon_Type,is_Jargon
2212,per literas regias,Latin,True
2213,per lit. reg.,Latin,True
2214,per regias literas,Latin,True
2215,per reg. lit.,Latin,True
2216,&c.,Latin,True
2217,"of academic degrees: awarded by letters patent from the King/Queen, rather than by a University[75][76]",Latin,True
2218,per mare per terram,Latin,True
2221,per pedes,Latin,True
2223,per quod,Latin,True
2225,per rectum ad astra,Latin,True
2226,per risum multum poteris cognoscere stultum,Latin,True
2227,per se,Latin,True
2228,per stirpes,Latin,True
2229,per unitatem vis,Latin,True
2230,per veritatem vis,Latin,True
2231,per volar sunata[sic],Latin,True
2232,Perfer et obdura; dolor hic tibi proderit olim,Latin,True
2233,periculum in mora,Latin,True
2234,perinde ac [si] cadaver [essent],Latin,True
2235,perita manus mens exculta,Latin,True
2236,perge sequar,Latin,True
2237,Pericula ludus,Latin,True
2238,perpetuum mobile,Latin,True
2239,Perseverantia et Fide in Deo,Latin,True
2240,persona non grata,Latin,True
2241,petitio principii,Latin,True
2242,pia desideria,Latin,True
2243,pia fraus,Latin,True
2244,pia mater,Latin,True
2245,Pietate et doctrina tuta libertas,Latin,True
2246,pinxit,Latin,True
2247,piscem natare doces,Latin,True
2248,placet,Latin,True
2249,pluralis majestatis,Latin,True
2250,pluralis modestiae,Latin,True
2252,plus ultra,Latin,True
2253,pollice compresso favor iudicabatur,Latin,True
2254,pollice verso,Latin,True
2255,Polonia Restituta,Latin,True
2256,pons asinorum,Latin,True
2257,Pontifex Maximus,Latin,True
2258,posse comitatus,Latin,True
2259,possunt quia posse videntur,Latin,True
2260,post aut propter,Latin,True
2262,post coitum,Latin,True
2263,post coitum omne animal triste est sive gallus et mulier,Latin,True
2264,post hoc ergo propter hoc,Latin,True
2265,post festum,Latin,True
2269,post nubila phoebus,Latin,True
2270,post nubes lux,Latin,True
2271,post prandial,Latin,True
2273,"post tenebras lux, or post tenebras spero lucem",Latin,True
2274,postera crescam laude,Latin,True
2275,potest solum unum,Latin,True
2276,praemia virtutis honores,Latin,True
2277,praemonitus praemunitus,Latin,True
2278,praesis ut prosis ne ut imperes,Latin,True
2279,praeter legem,Latin,True
2280,Praga Caput Regni,Latin,True
2281,Praga Caput Rei publicae,Latin,True
2282,Praga mater urbium,Latin,True
2283,Praga totius Bohemiae domina,Latin,True
2284,Pretium Laborum Non Vile,Latin,True
2285,pretiumque et causa laboris,Latin,True
2286,prima facie,Latin,True
2287,prima luce,Latin,True
2288,primas sum: primatum nil a me alienum puto,Latin,True
2289,primum mobile,Latin,True
2290,primum movens,Latin,True
2291,primum non nocere,Latin,True
2292,primus inter pares,Latin,True
2293,principia probant non probantur,Latin,True
2295,principium individuationis,Latin,True
2296,prior tempore potior iure,Latin,True
2297,pro aris et focis,Latin,True
2298,pro bono publico,Latin,True
2299,pro Brasilia fiant eximia,Latin,True
2300,pro Deo et Patria,Latin,True
2302,"pro Ecclesia, pro Texana",Latin,True
2303,pro fide et patria,Latin,True
2304,pro forma,Latin,True
2305,pro gloria et patria,Latin,True
2306,pro hac vice,Latin,True
2307,pro multis,Latin,True
2308,pro parte,Latin,True
2309,pro patria,Latin,True
2310,pro patria vigilans,Latin,True
2311,pro per,Latin,True
2312,pro rata,Latin,True
2314,pro rege et lege,Latin,True
2315,"pro rege, lege et grege",Latin,True
2316,pro se,Latin,True
2317,pro scientia atque sapientia,Latin,True
2318,pro scientia et patria,Latin,True
2319,pro studio et labore,Latin,True
2320,pro tanto,Latin,True
2321,pro tempore,Latin,True
2322,probatio pennae,Latin,True
2323,probis pateo,Latin,True
2324,prodesse quam conspici,Latin,True
2326,propter vitam vivendi perdere causas,Latin,True
2327,"protectio trahit subjectionem, et subjectio protectionem",Latin,True
2328,provehito in altum,Latin,True
2329,proxime accessit,Latin,True
2331,pulchrum est paucorum hominum,Latin,True
2332,pulvis et umbra sumus,Latin,True
2333,punctum saliens,Latin,True
2334,purificatus non consumptus,Latin,True
2335,Q[edit],Latin,True
2336,Latin,Latin,True
2337,qua definitione,Latin,True
2338,qua patet orbis,Latin,True
2339,quae non prosunt singula multa iuvant,Latin,True
2340,quaecumque sunt vera,Latin,True
2341,quaecumque vera doce me,Latin,True
2342,quaere,Latin,True
2343,quaerite primum regnum Dei,Latin,True
2344,qualis artifex pereo,Latin,True
2345,Qualitas potentia nostra,Latin,True
2346,quam bene non quantum,Latin,True
2349,quantocius quantotius,Latin,True
2353,quare clausum fregit,Latin,True
2355,"quem deus vult perdere, dementat prius",Latin,True
2356,quem di diligunt adulescens moritur,Latin,True
2357,questio quid iuris,Latin,True
2358,qui audet adipiscitur,Latin,True
2359,qui bene cantat bis orat,Latin,True
2360,qui bono,Latin,True
2361,qui docet in doctrina,Latin,True
2362,qui habet aures audiendi audiat,Latin,True
2363,"qui me tangit, vocem meam audit",Latin,True
2364,qui tacet consentire videtur,Latin,True
2365,qui tam pro domino rege quam pro se ipso in hac parte sequitur,Latin,True
2366,qui totum vult totum perdit,Latin,True
2367,qui transtulit sustinet,Latin,True
2368,quia suam uxorem etiam suspicione vacare vellet,Latin,True
2369,quid agis,Latin,True
2370,quid est veritas,Latin,True
2371,quid infantes sumus,Latin,True
2372,quid novi ex Africa,Latin,True
2373,quid nunc,Latin,True
2374,quid pro quo,Latin,True
2375,Quid rides?,Latin,True
2376,Mutato nomine de te fabula narratur.,Latin,True
2377,quidquid Latine dictum sit altum videtur,Latin,True
2378,quieta non movere,Latin,True
2379,Quis custodiet ipsos custodes?,Latin,True
2380,quis leget haec?,Latin,True
2381,quis separabit?,Latin,True
2382,quis ut Deus,Latin,True
2383,quo errat demonstrator,Latin,True
2384,quo fata ferunt,Latin,True
2385,Quod verum tutum,Latin,True
2386,quousque tandem?,Latin,True
2387,Quo Vadimus?,Latin,True
2388,quo vadis?,Latin,True
2389,quocunque jeceris stabit,Latin,True
2390,quod abundat non obstat,Latin,True
2391,"quod cito fit, cito perit",Latin,True
2395,quod est necessarium est licitum,Latin,True
2396,"quod gratis asseritur, gratis negatur",Latin,True
2397,"quod licet Iovi, non licet bovi",Latin,True
2398,quod me nutrit me destruit,Latin,True
2399,quod natura non dat Salmantica non praestat,Latin,True
2400,"quod non fecerunt barbari, fecerunt Barberini",Latin,True
2401,"quod periit, periit",Latin,True
2402,"quod scripsi, scripsi",Latin,True
2403,"quod supplantandum, prius bene sciendum",Latin,True
2405,"Quodcumque dixerit vobis, facite.",Latin,True
2406,quomodo vales,Latin,True
2407,quorum,Latin,True
2408,quos amor verus tenuit tenebit,Latin,True
2409,quot capita tot sensus,Latin,True
2410,quot homines tot sententiae,Latin,True
2411,R[edit],Latin,True
2412,Latin,Latin,True
2413,radix malorum est cupiditas,Latin,True
2415,rari nantes in gurgite vasto,Latin,True
2416,ratio decidendi,Latin,True
2417,ratio legis,Latin,True
2418,ratione personae,Latin,True
2419,ratione soli,Latin,True
2420,ratum et consummatum,Latin,True
2421,ratum tantum,Latin,True
2422,re,Latin,True
2423,rebus sic stantibus,Latin,True
2424,recte et fortiter,Latin,True
2425,recte et fideliter,Latin,True
2426,reductio ad absurdum,Latin,True
2427,reductio ad Hitlerum,Latin,True
2428,reductio ad infinitum,Latin,True
2429,Regem ego comitem me comes regem,Latin,True
2430,Reginam occidere,Latin,True
2431,regnat populus,Latin,True
2432,Regnum Mariae Patrona Hungariae,Latin,True
2433,regressus ad uterum,Latin,True
2434,rem acu tetigisti,Latin,True
2435,repetita iuvant,Latin,True
2436,repetitio est mater studiorum,Latin,True
2437,requiem aeternam,Latin,True
2439,rerum cognoscere causas,Latin,True
2440,res firma mitescere nescit,Latin,True
2441,res gestae,Latin,True
2442,res ipsa loquitur,Latin,True
2443,res judicata,Latin,True
2444,"res, non verba",Latin,True
2445,res nullius,Latin,True
2446,res publica,Latin,True
2447,respice adspice prospice,Latin,True
2448,respice finem,Latin,True
2449,respondeat superior,Latin,True
2451,resurgam,Latin,True
2452,"retine vim istam, falsa enim dicam, si coges",Latin,True
2453,rex regum fidelum et,Latin,True
2454,rigor mortis,Latin,True
2455,"risum teneatis, amici?",Latin,True
2456,risus abundat in ore stultorum,Latin,True
2457,Roma invicta,Latin,True
2458,"Roma locuta, causa finita",Latin,True
2459,Romanes eunt domus,Latin,True
2460,rorate coeli,Latin,True
2461,"rosa rubicundior, lilio candidior, omnibus formosior, semper in te glorior",Latin,True
2462,Rosam quae meruit ferat,Latin,True
2463,rus in urbe,Latin,True
2464,S[edit],Latin,True
2465,Latin,Latin,True
2466,saltus in demonstrando,Latin,True
2467,salus in arduis,Latin,True
2468,salus populi suprema lex esto,Latin,True
2469,salva veritate,Latin,True
2470,Salvator Mundi,Latin,True
2473,Sancta Sedes,Latin,True
2474,sancta simplicitas,Latin,True
2475,sancte et sapienter,Latin,True
2476,sanctum sanctorum,Latin,True
2477,sapere aude,Latin,True
2478,sapiens qui prospicit,Latin,True
2479,sapienti sat,Latin,True
2480,sapientia et doctrina,Latin,True
2481,sapientia et eloquentia,Latin,True
2482,Motto of the Minerva Society,Latin,True
2483,sapientia et veritas,Latin,True
2484,sapientia et virtus,Latin,True
2485,sapientia melior auro,Latin,True
2486,"sapientia, pax, fraternitas",Latin,True
2487,sat celeriter fieri quidquid fiat satis bene,Latin,True
2488,scientia ac labore,Latin,True
2489,"scientia, aere perennius",Latin,True
2490,scientia cum religione,Latin,True
2491,scientiae cedit mare,Latin,True
2492,scientiae et patriae,Latin,True
2493,scientia et labor,Latin,True
2494,scientia et sapientia,Latin,True
2495,scientia imperii decus et tutamen,Latin,True
2496,scientia ipsa potentia est,Latin,True
2497,scientia vincere tenebras,Latin,True
2499,scio,Latin,True
2500,scio me nihil scire,Latin,True
2501,scire quod sciendum,Latin,True
2502,scribimus indocti doctique poemata passim,Latin,True
2503,scuto amoris divini,Latin,True
2504,seculo seculorum,Latin,True
2505,"sed ipse spiritus postulat pro nobis, gemitibus inenarrabilibus",Latin,True
2506,sed terrae graviora manent,Latin,True
2507,sede vacante,Latin,True
2508,sedes apostolica,Latin,True
2509,sedes incertae,Latin,True
2510,"sedet, aeternumque sedebit",Latin,True
2511,semel in anno licet insanire,Latin,True
2512,semper ad meliora,Latin,True
2513,semper anticus,Latin,True
2514,semper apertus,Latin,True
2515,semper ardens,Latin,True
2516,semper eadem,Latin,True
2517,semper excelsius,Latin,True
2518,semper fidelis,Latin,True
2519,semper fortis,Latin,True
2520,semper idem,Latin,True
2521,semper in excretia sumus solim profundum variat,Latin,True
2522,semper instans,Latin,True
2523,semper invicta,Latin,True
2524,semper necessitas probandi incumbit ei qui agit,Latin,True
2525,semper liber,Latin,True
2526,semper paratus,Latin,True
2527,semper primus,Latin,True
2528,semper progrediens,Latin,True
2529,semper reformanda,Latin,True
2530,semper sursum,Latin,True
2531,semper vigilans,Latin,True
2532,semper vigilo,Latin,True
2534,sensu lato,Latin,True
2535,sensu stricto cf. stricto sensu,Latin,True
2536,sensus plenior,Latin,True
2537,sequere pecuniam,Latin,True
2538,Sermo Tuus Veritas Est,Latin,True
2539,sero venientes male sedentes,Latin,True
2540,sero venientibus ossa,Latin,True
2541,servabo fidem,Latin,True
2542,serviam,Latin,True
2543,servus servorum Dei,Latin,True
2544,sesquipedalia verba,Latin,True
2545,Si monumentum requiris circumspice,Latin,True
2546,"Si non oscillas, noli tintinnare",Latin,True
2547,si omnes... ego non,Latin,True
2548,si peccasse negamus fallimur et nulla est in nobis veritas,Latin,True
2549,si quaeris peninsulam amoenam circumspice,Latin,True
2550,"si quid novisti rectius istis, candidus imperti; si nil, his utere mecum.",Latin,True
2551,"si tacuisses, philosophus mansisses",Latin,True
2553,si vis amari ama,Latin,True
2554,"si vis pacem, para bellum",Latin,True
2555,sic,Latin,True
2556,sic currite ut comprehendatis,Latin,True
2557,sic et non,Latin,True
2558,sic gorgiamus allos subjectatos nunc,Latin,True
2559,sic infit,Latin,True
2560,sic itur ad astra,Latin,True
2561,sic parvis magna,Latin,True
2562,sic passim,Latin,True
2563,"sic semper erat, et sic semper erit",Latin,True
2564,sic semper tyrannis,Latin,True
2565,sic transit gloria mundi,Latin,True
2566,sic utere tuo ut alienum non laedas,Latin,True
2567,sic vita est,Latin,True
2568,sidere mens eadem mutato,Latin,True
2570,signum fidei,Latin,True
2571,silentium est aureum,Latin,True
2572,similia similibus curantur,Latin,True
2573,similia similibus curentur,Latin,True
2574,let similar things take care of similar things,Latin,True
2575,similia similibus solvuntur,Latin,True
2576,simplex sigillum veri,Latin,True
2578,sine die,Latin,True
2579,sine ira et studio,Latin,True
2580,sine honoris titulo,Latin,True
2581,sine labore non erit panis in ore,Latin,True
2583,sine metu,Latin,True
2585,sine poena nulla lex,Latin,True
2586,sine prole,Latin,True
2587,sine prole superstite,Latin,True
2588,sine timore aut favore,Latin,True
2589,sine qua non,Latin,True
2590,sine remediis medicina debilis est,Latin,True
2591,sine scientia ars nihil est,Latin,True
2592,sisto activitatem,Latin,True
2593,sit nomine digna,Latin,True
2594,sit sine labe decus,Latin,True
2595,sit tibi terra levis,Latin,True
2596,sit venia verbo,Latin,True
2597,sol iustitiae illustra nos,Latin,True
2598,sol lucet omnibus,Latin,True
2599,sol omnia regit,Latin,True
2600,sola fide,Latin,True
2601,sola dosis facit venemum,Latin,True
2602,sola gratia,Latin,True
2603,sola lingua bona est lingua mortua,Latin,True
2604,sola scriptura,Latin,True
2605,sola nobilitat virtus,Latin,True
2606,solamen miseris socios habuisse doloris,Latin,True
2608,solus Christus,Latin,True
2609,solus ipse,Latin,True
2610,solvitur ambulando,Latin,True
2611,Spartam nactus es; hanc exorna,Latin,True
2612,specialia generalibus derogant,Latin,True
2613,species nova,Latin,True
2614,speculum speculorum,Latin,True
2615,spem gregis,Latin,True
2616,spem reduxit,Latin,True
2617,spero meliora,Latin,True
2618,spes bona,Latin,True
2619,spes vincit thronum,Latin,True
2620,spiritus mundi,Latin,True
2621,spiritus ubi vult spirat,Latin,True
2622,splendor sine occasu,Latin,True
2623,stamus contra malo,Latin,True
2624,stante pede,Latin,True
2625,stare decisis,Latin,True
2626,stat sua cuique dies,Latin,True
2628,statio bene fide carinis,Latin,True
2629,status quo,Latin,True
2630,status quo ante bellum,Latin,True
2631,stet,Latin,True
2632,stet fortuna domus,Latin,True
2633,stipendium peccati mors est,Latin,True
2634,strenuis ardua cedunt,Latin,True
2635,stricto sensu cf. sensu stricto,Latin,True
2636,stupor mundi,Latin,True
2637,sua sponte,Latin,True
2638,sub anno,Latin,True
2639,sub cruce lumen,Latin,True
2640,sub divo,Latin,True
2641,sub finem,Latin,True
2642,sub Iove frigido,Latin,True
2643,sub judice,Latin,True
2644,sub poena,Latin,True
2645,sub rosa,Latin,True
2647,sub silentio,Latin,True
2648,sub specie aeternitatis,Latin,True
2649,sub specie Dei,Latin,True
2650,sub tuum praesidium,Latin,True
2651,Sub umbra floreo,Latin,True
2652,sub verbo; sub voce,Latin,True
2653,sublimis ab unda,Latin,True
2654,subsiste sermonem statim,Latin,True
2655,Succisa virescit,Latin,True
2656,Sudetia non cantat,Latin,True
2657,sui generis,Latin,True
2658,sui iuris,Latin,True
2659,sum quod eris,Latin,True
2660,sum quod sum,Latin,True
2661,summa cum laude,Latin,True
2662,summa potestas,Latin,True
2663,summa summarum,Latin,True
2664,summum bonum,Latin,True
2665,"summum ius, summa iniuria",Latin,True
2666,sunt lacrimae rerum,Latin,True
2667,sunt omnes unum,Latin,True
2668,"sunt pueri pueri, pueri puerilia tractant",Latin,True
2669,suo jure,Latin,True
2670,suo motu,Latin,True
2671,suos cultores scientia coronat,Latin,True
2672,super firmum fundamentum dei,Latin,True
2673,super fornicam,Latin,True
2674,superbia in proelia,Latin,True
2675,supero omnia,Latin,True
2676,surdo oppedere,Latin,True
2677,surgam,Latin,True
2678,sursum corda,Latin,True
2679,"sutor, ne ultra crepidam",Latin,True
2680,suum cuique tribuere,Latin,True
2681,s.v.,Latin,True
2682,T[edit],Latin,True
2683,Latin,Latin,True
2684,tabula gratulatoria,Latin,True
2685,tabula rasa,Latin,True
2686,talis qualis,Latin,True
2687,taliter qualiter,Latin,True
2688,talium Dei regnum,Latin,True
2689,tanquam ex ungue leonem,Latin,True
2690,tarde venientibus ossa,Latin,True
2691,Te occidere possunt sed te edere non possunt nefas est,Latin,True
2692,technica impendi nationi,Latin,True
2693,temet nosce,Latin,True
2694,tempora heroica,Latin,True
2695,tempora mutantur et nos mutamur in illis,Latin,True
2696,tempus edax rerum,Latin,True
2697,tempus fugit,Latin,True
2698,Time flies.,Latin,True
2699,tempus rerum imperator,Latin,True
2700,tempus vernum,Latin,True
2701,tempus volat hora fugit,Latin,True
2702,tendit in ardua virtus,Latin,True
2703,teneo te Africa,Latin,True
2704,tentanda via,Latin,True
2706,terminat hora diem; terminat auctor opus.,Latin,True
2707,terminus ante quem,Latin,True
2708,terra australis incognita,Latin,True
2709,terra firma,Latin,True
2710,terra incognita,Latin,True
2711,terra nova,Latin,True
2712,terra nullius,Latin,True
2713,terrae quis fructus appertae,Latin,True
2714,terras irradient,Latin,True
2715,tertium non datur,Latin,True
2716,tertium quid,Latin,True
2717,"testis unus, testis nullus",Latin,True
2718,Tibi cordi immaculato concredimus nos ac consecramus,Latin,True
2719,timeo Danaos et dona ferentes,Latin,True
2720,timidi mater non flet,Latin,True
2721,timor mortis conturbat me,Latin,True
2722,totus tuus,Latin,True
2723,transire benefaciendo,Latin,True
2724,translatio imperii,Latin,True
2725,tres faciunt collegium,Latin,True
2726,treuga Dei,Latin,True
2727,tria juncta in uno,Latin,True
2728,tu autem Domine miserere nobis,Latin,True
2729,tu fui ego eris,Latin,True
2730,"tu ne cede malis, sed contra audentior ito",Latin,True
2731,tu quoque,Latin,True
2732,tu stultus es,Latin,True
2733,tuebor,Latin,True
2734,tunica propior est pallio,Latin,True
2735,turris fortis mihi Deus,Latin,True
2736,tutum te robore reddam,Latin,True
2737,tuum est,Latin,True
2738,U[edit],Latin,True
2739,Latin,Latin,True
2740,uberrima fides,Latin,True
2741,ubertas et fidelitas,Latin,True
2742,"ubi amor, ibi dolor",Latin,True
2743,ubi bene ibi patria,Latin,True
2744,ubi caritas et amor Deus ibi est,Latin,True
2745,ubi dubium ibi libertas,Latin,True
2746,ubi jus ibi remedium,Latin,True
2747,ubi mel ibi apes,Latin,True
2748,ubi libertas ibi patria,Latin,True
2749,"ubi nihil vales, ibi nihil velis",Latin,True
2750,ubi non accusator ibi non iudex,Latin,True
2751,ubi panis ibi patria,Latin,True
2752,"ubi pus, ibi evacua",Latin,True
2753,ubi re vera,Latin,True
2754,ubi societas ibi ius,Latin,True
2755,ubi solitudinem faciunt pacem appellant,Latin,True
2756,ubi sunt,Latin,True
2757,"ubique, quo fas et gloria ducunt",Latin,True
2758,ultima ratio,Latin,True
2759,the final argument,Latin,True
2763,ultra vires,Latin,True
2764,ultra posse nemo obligatur,Latin,True
2765,ululas Athenas,Latin,True
2766,una hirundo non facit ver,Latin,True
2767,una salus victis nullam sperare salutem,Latin,True
2768,"unitas, iustitia, spes",Latin,True
2769,unitas per servitiam,Latin,True
2770,uniti aedificamus,Latin,True
2771,uno flatu,Latin,True
2772,unus multorum,Latin,True
2773,"Unus papa Romae, unus portus Anconae, una turris Cremonae, una ceres Raconae",Latin,True
2774,Urbi et Orbi,Latin,True
2775,urbs in horto,Latin,True
2776,usque ad finem,Latin,True
2777,usus est magister optimus,Latin,True
2778,ut biberent quoniam esse nollent,Latin,True
2779,"ut desint vires, tamen est laudanda voluntas",Latin,True
2780,ut dicitur,Latin,True
2781,ut incepit fidelis sic permanet,Latin,True
2782,ut infra,Latin,True
2783,ut in omnibus glorificetur Deus,Latin,True
2784,ut mare quod ut ventus,Latin,True
2785,ut prosim,Latin,True
2786,ut proverbium loquitur vetus...,Latin,True
2787,ut res magis valeat quam pereat,Latin,True
2788,ut retro,Latin,True
2789,"ut Roma cadit, sic omnis terra",Latin,True
2790,ut sit finis litium,Latin,True
2791,ut supra,Latin,True
2792,ut tensio sic vis,Latin,True
2793,utilis in ministerium,Latin,True
2794,utraque unum,Latin,True
2795,utrinque paratus,Latin,True
2796,V[edit],Latin,True
2797,Latin,Latin,True
2798,vacate et scire,Latin,True
2799,vade ad formicam,Latin,True
2800,vade mecum,Latin,True
2801,vade retro Satana,Latin,True
2802,vae victis,Latin,True
2803,vanitas vanitatum omnia vanitas,Latin,True
2804,vaticinium ex eventu,Latin,True
2805,vel non,Latin,True
2806,velle est posse,Latin,True
2807,velocius quam asparagi coquantur,Latin,True
2808,velut arbor aevo,Latin,True
2809,"veni, vidi, vici",Latin,True
2810,venturis ventis,Latin,True
2811,vera causa,Latin,True
2812,verba docent exempla trahunt,Latin,True
2813,verba ita sunt intelligenda ut res magis valeat quam pereat,Latin,True
2814,verba vana aut risui non loqui,Latin,True
2815,"verba volant, scripta manent",Latin,True
2816,verbatim,Latin,True
2817,verbatim et literatim,Latin,True
2818,verbi divini minister,Latin,True
2819,verbi gratia,Latin,True
2821,Verbum Dei,Latin,True
2822,Verbum Domini lucerna pedibus nostris,Latin,True
2824,"verb. sap.,",Latin,True
2825,verbum sap.,Latin,True
2826,veritas,Latin,True
2827,veritas aequitas,Latin,True
2828,"veritas, bonitas, pulchritudo, sanctitas",Latin,True
2829,veritas Christo et ecclesiae,Latin,True
2830,Veritas cum libertate,Latin,True
2831,veritas curat,Latin,True
2832,Veritas Dei vincit,Latin,True
2833,veritas diaboli manet in aeternum,Latin,True
2834,veritas et fortitudo,Latin,True
2835,veritas et virtus,Latin,True
2836,"veritas, fides, sapientia",Latin,True
2837,veritas in caritate,Latin,True
2838,Veritas Iustitia Libertas,Latin,True
2839,Veritas Liberabit Vos,Latin,True
2840,veritas lux mea,Latin,True
2841,veritas numquam perit,Latin,True
2842,veritas odit moras,Latin,True
2843,veritas omnia vincit,Latin,True
2844,veritas unitas caritas,Latin,True
2845,veritas vincit,Latin,True
2846,Veritas. Virtus. Libertas.,Latin,True
2847,veritas vitæ magistra,Latin,True
2848,veritas vos liberabit,Latin,True
2849,veritate duce progredi,Latin,True
2850,[in] veritate et caritate,Latin,True
2851,veritate et virtute,Latin,True
2852,veritatem dilexi,Latin,True
2853,veritatem fratribus testari,Latin,True
2854,veritatem cognoscere,Latin,True
2855,vero nihil verius,Latin,True
2856,vero possumus,Latin,True
2858,veto,Latin,True
2859,vexilla regis prodeunt inferni,Latin,True
2860,vi coactus,Latin,True
2861,vi et animo,Latin,True
2862,vi veri universum vivus vici,Latin,True
2863,via,Latin,True
2864,via media,Latin,True
2865,"via, veritas, vita",Latin,True
2866,vice,Latin,True
2867,vice versa,Latin,True
2868,versa vice,Latin,True
2870,"Thus, ""the other way around"", ""conversely"", etc. Historically and in British English, vice is pronounced as two syllables, but in American English the one-syllable pronunciation is extremely common. Classical Latin pronunciation dictates that the letter C can only make a hard sound, like K, thus vee-keh vehr-sah. Moreover, it also dictates that the letter V, when consonantal, represents /w/; i.e. in classical times, the V was pronounced like a W; hence wee-keh wehr-sah.[99]",Latin,True
2871,victoria aut mors,Latin,True
2872,victoria concordia crescit,Latin,True
2873,victrix causa diis placuit sed victa Catoni,Latin,True
2874,vide,Latin,True
2878,video et taceo,Latin,True
2879,video meliora proboque deteriora sequor,Latin,True
2880,video sed non credo,Latin,True
2881,videre licet,Latin,True
2882,vim promovet insitam,Latin,True
2883,vince malum bono,Latin,True
2884,vincere est vivere,Latin,True
2885,vincere scis Hannibal victoria uti nescis,Latin,True
2886,vincit omnia veritas,Latin,True
2887,vincit qui patitur,Latin,True
2888,vincit qui se vincit,Latin,True
2889,vinculum juris,Latin,True
2890,vinum et musica laetificant cor,Latin,True
2891,"vinum regum, rex vinorum",Latin,True
2892,vir prudens non contra ventum mingit,Latin,True
2893,vir visque vir,Latin,True
2894,Vires acquirit eundo,Latin,True
2895,virile agitur,Latin,True
2896,viriliter age,Latin,True
2897,viriliter agite,Latin,True
2898,viriliter agite estote fortes,Latin,True
2899,virtus et labor,Latin,True
2900,virtus et scientia,Latin,True
2901,virtus in media stat,Latin,True
2902,virtus junxit mors non separabit,Latin,True
2903,virtus laudata crescit,Latin,True
2904,Virtus non stemma,Latin,True
2905,virtus sola nobilitas,Latin,True
2906,virtus tentamine gaudet,Latin,True
2907,virtus unita fortior,Latin,True
2908,Virtute duce comite fortuna,Latin,True
2909,virtute et armis,Latin,True
2910,virtute et industria,Latin,True
2911,virtute et veritate,Latin,True
2912,vis legis,Latin,True
2913,vis major,Latin,True
2914,visio dei,Latin,True
2915,vita ante acta,Latin,True
2916,"vita, dulcedo, spes",Latin,True
2917,"vita incerta, mors certissima",Latin,True
2918,"vita mutatur, non tollitur",Latin,True
2919,vita patris,Latin,True
2920,vita summa brevis spem nos vetat incohare longam,Latin,True
2921,vitai lampada tradunt,Latin,True
2922,vitam amplificare hominibus hominesque societati,Latin,True
2923,viva voce,Latin,True
2924,vivat crescat floreat,Latin,True
2925,vivat rex,Latin,True
2926,"vivat rex, curat lex",Latin,True
2927,vive memor leti,Latin,True
2928,vive ut vivas,Latin,True
2929,vivere est cogitare,Latin,True
2930,vivere militare est,Latin,True
2931,vocatus atque non vocatus Deus aderit,Latin,True
2932,volenti non fit injuria,Latin,True
2933,vos estis sal terrae,Latin,True
2934,votum separatum,Latin,True
2935,vox clamantis in deserto,Latin,True
2936,vox nihili,Latin,True
2937,vox populi,Latin,True
2938,"vox populi, vox Dei",Latin,True
2939,action this,Buzzwords,True
2940,action that,Buzzwords,True
2941,alignment,Buzzwords,True
2942,at the end of the day,Buzzwords,True
2943,break through the clutter,Buzzwords,True
2944,bring to the table,Buzzwords,True
2945,buzzword,Buzzwords,True
2946,clear goal,Buzzwords,True
2947,disruptive innovation,Buzzwords,True
2948,diversity,Buzzwords,True
2949,empowerment,Buzzwords,True
2950,exit strategy,Buzzwords,True
2951,face time,Buzzwords,True
2952,generation x,Buzzwords,True
2953,globalization,Buzzwords,True
2954,going forward,Buzzwords,True
2955,grow the business,Buzzwords,True
2956,headlights - to gain visibility into,Buzzwords,True
2957,holistic approach,Buzzwords,True
2958,impact,Buzzwords,True
2959,leverage,Buzzwords,True
2960,millennial,Buzzwords,True
2961,moving forward,Buzzwords,True
2962,new normal,Buzzwords,True
2963,on the runway,Buzzwords,True
2964,organic growth,Buzzwords,True
2965,outside the box,Buzzwords,True
2966,paradigm,Buzzwords,True
2967,paradigm shift,Buzzwords,True
2968,proactive,Buzzwords,True
2969,push the envelope,Buzzwords,True
2970,reach out,Buzzwords,True
2971,sea change,Buzzwords,True
2972,sisterhood,Buzzwords,True
2973,spin-up,Buzzwords,True
2974,"strategic communication (also known as ""stratcom"")",Buzzwords,True
2975,streamline,Buzzwords,True
2976,survival strategy,Buzzwords,True
2977,sustainability,Buzzwords,True
2978,synergy,Buzzwords,True
2979,unpack that sentence,Buzzwords,True
2980,wellness,Buzzwords,True
2981,in my wheelhouse,Buzzwords,True
2982,win-win,Buzzwords,True
2983,accountable talk,Buzzwords,True
2984,higher-order thinking,Buzzwords,True
2985,invested in,Buzzwords,True
2986,run like a business,Buzzwords,True
2987,student engagement,Buzzwords,True
2988,common core,Buzzwords,True
2989,bloom's taxonomy,Buzzwords,True
2990,differentiated instruction,Buzzwords,True
2991,digital literacy,Buzzwords,True
2992,flipped classroom,Buzzwords,True
2993,guided reading,Buzzwords,True
2994,instructional scaffolding,Buzzwords,True
2995,multiple intelligences,Buzzwords,True
2996,project-based learning,Buzzwords,True
2997,adaptive learning,Buzzwords,True
2998,brain break,Buzzwords,True
2999,cooperative learning,Buzzwords,True
3000,analytics,Buzzwords,True
3001,ballpark figure,Buzzwords,True
3002,bandwidth,Buzzwords,True
3003,b2b,Buzzwords,True
3004,b2c,Buzzwords,True
3005,best of breed,Buzzwords,True
3006,best practices,Buzzwords,True
